Account Type,Account Number,Transaction Date,Cheque Number,Description 1,Description 2,CAD$,USD$
Visa,4532123456789012,1/5/2025,,NETFLIX.COM 866-579-7172,,-16.49,
Visa,4532123456789012,1/6/2025,,GROCERY STORE VANCOUVER,,-127.83,
Visa,4532123456789012,1/8/2025,,SPOTIFY USA 877-778-6087,11.99 USD @ 1.4325,-17.18,
Visa,4532123456789012,1/10/2025,,COFFEE SHOP DOWNTOWN,,-6.75,
Visa,4532123456789012,1/12/2025,,GAS STATION RICHMOND,,-68.42,
Visa,4532123456789012,1/15/2025,,AMAZON.CA WWW.AMAZON.CA,,-43.29,
Visa,4532123456789012,1/18/2025,,CLOUD STORAGE INC CLOUDSTORE.COM,9.99 USD @ 1.4298,-14.28,
Visa,4532123456789012,1/20/2025,,RESTAURANT DOWNTOWN,,-89.56,
Visa,4532123456789012,1/22/2025,,PHARMACY VANCOUVER,,-34.67,
Visa,4532123456789012,1/25/2025,,GITHUB.COM 855-448-4820,7.0 USD @ 1.4312,-10.02,
Visa,4532123456789012,1/28/2025,,GROCERY STORE VANCOUVER,,-142.18,
Visa,4532123456789012,2/1/2025,,INTERNET SERVICE PROVIDER,,-89.99,
Visa,4532123456789012,2/3/2025,,COFFEE SHOP DOWNTOWN,,-8.25,
Visa,4532123456789012,2/5/2025,,NETFLIX.COM 866-579-7172,,-16.49,
Visa,4532123456789012,2/7/2025,,GAS STATION RICHMOND,,-71.23,
Visa,4532123456789012,2/8/2025,,SPOTIFY USA 877-778-6087,11.99 USD @ 1.4289,-17.13,
Visa,4532123456789012,2/10/2025,,GROCERY STORE VANCOUVER,,-156.92,
Visa,4532123456789012,2/12/2025,,HARDWARE STORE BURNABY,,-78.45,
Visa,4532123456789012,2/15/2025,,RESTAURANT DOWNTOWN,,-67.34,
Visa,4532123456789012,2/18/2025,,CLOUD STORAGE INC CLOUDSTORE.COM,9.99 USD @ 1.4276,-14.26,
Visa,4532123456789012,2/20/2025,,COFFEE SHOP DOWNTOWN,,-7.50,
Visa,4532123456789012,2/22/2025,,AMAZON.CA WWW.AMAZON.CA,,-92.18,
Visa,4532123456789012,2/25/2025,,GITHUB.COM 855-448-4820,7.0 USD @ 1.4301,-10.01,
Visa,4532123456789012,2/28/2025,,GROCERY STORE VANCOUVER,,-134.76,
Visa,4532123456789012,3/1/2025,,INTERNET SERVICE PROVIDER,,-89.99,
Visa,4532123456789012,3/3/2025,,GAS STATION RICHMOND,,-65.89,
Visa,4532123456789012,3/5/2025,,NETFLIX.COM 866-579-7172,,-16.49,
Visa,4532123456789012,3/7/2025,,COFFEE SHOP DOWNTOWN,,-9.15,
Visa,4532123456789012,3/8/2025,,SPOTIFY USA 877-778-6087,11.99 USD @ 1.4265,-17.10,
Visa,4532123456789012,3/10/2025,,GROCERY STORE VANCOUVER,,-148.23,
Visa,4532123456789012,3/12/2025,,RESTAURANT DOWNTOWN,,-112.45,
Visa,4532123456789012,3/15/2025,,PHARMACY VANCOUVER,,-28.92,
Visa,4532123456789012,3/18/2025,,CLOUD STORAGE INC CLOUDSTORE.COM,9.99 USD @ 1.4253,-14.24,
Visa,4532123456789012,3/20/2025,,GAS STATION RICHMOND,,-73.56,
Visa,4532123456789012,3/22/2025,,COFFEE SHOP DOWNTOWN,,-6.95,
Visa,4532123456789012,3/25/2025,,GITHUB.COM 855-448-4820,7.0 USD @ 1.4288,-10.00,
Visa,4532123456789012,3/28/2025,,GROCERY STORE VANCOUVER,,-139.87,
Visa,4532123456789012,4/1/2025,,INTERNET SERVICE PROVIDER,,-89.99,
Visa,4532123456789012,4/3/2025,,AMAZON.CA WWW.AMAZON.CA,,-156.73,
Visa,4532123456789012,4/5/2025,,NETFLIX.COM 866-579-7172,,-16.49,
Visa,4532123456789012,4/7/2025,,COFFEE SHOP DOWNTOWN,,-8.50,
Visa,4532123456789012,4/8/2025,,SPOTIFY USA 877-778-6087,11.99 USD @ 1.4241,-17.07,
Visa,4532123456789012,4/10/2025,,GROCERY STORE VANCOUVER,,-162.45,
Visa,4532123456789012,4/12/2025,,GAS STATION RICHMOND,,-69.78,
Visa,4532123456789012,4/15/2025,,RESTAURANT DOWNTOWN,,-95.23,
Visa,4532123456789012,4/18/2025,,CLOUD STORAGE INC CLOUDSTORE.COM,9.99 USD @ 1.4229,-14.21,
Visa,4532123456789012,4/20/2025,,COFFEE SHOP DOWNTOWN,,-7.25,
Visa,4532123456789012,4/22/2025,,HARDWARE STORE BURNABY,,-234.56,
Visa,4532123456789012,4/25/2025,,GITHUB.COM 855-448-4820,7.0 USD @ 1.4267,-9.99,
